"","actor.followersCount","actor.friendsCount","actor.languages","actor.link","actor.preferredUsername","actor.statusesCount","body","generator.displayName","lat","lon","gnip.klout_score","inReplyTo.link","link","object.actor.displayName","object.actor.followersCount","object.actor.preferredUsername","object.actor.statusesCount","object.twitter_entities.hashtags.text","postedTime","day","hour","min","sec","comboTime","retweetCount","twitter_entities.hashtags.text","twitter_entities.user_mentions.screen_name","verb"
"142246",68,168,"en","http://www.twitter.com/DonnaDsDC","DonnaDsDC","41","Celebrating surviving Sandy with Sushi! (@ Sushi Rock) http://t.co/ScnABNOa","foursquare","38.891658","-77.08121775","46","","http://twitter.com/DonnaDsDC/statuses/263413484803465216","","","","","","2012-10-30T22:54:03.000Z",30,22,54,3,"10-30 22:54","","","","post"
"41779",231,245,"en","http://www.twitter.com/I_AmTash","I_AmTash","10181","Okei , (: hehhe :* ""@_iProblemChild: @I_AmTash I will bbz, dutty Sandy nah go do me a ting!! :) lol I'll survive because of YOU! :D""","Twitter for BlackBerry?","17.88776","-77.70034","47","","http://twitter.com/I_AmTash/statuses/262767303404433408","","","","","","2012-10-29T04:06:21.000Z",29,4,6,21,"10-29 04:06","0","","_iProblemChild","post"
"116628",130,325,"en","http://www.twitter.com/TreC10","TreC10","699","In all circumstances I will pray. Through the good days and the hard days. Protect those from hurricane Sandy.
#faith #pray #sandy","Twitter for iPhone","42.84922984","-112.4255047","33","","http://twitter.com/TreC10/statuses/263174243209064448","","","","","","2012-10-30T07:03:23.000Z",30,7,3,23,"10-30 07:03","","faith,pray","","post"
"173281",38,21,"en","http://www.twitter.com/MorrisLongo","MorrisLongo","3329","@J_Dunkle @algore Excelsior! #ClimateChange2012 #Sandy","Twitter for iPhone","41.0097218","-76.44818215","46","http://twitter.com/J_Dunkle/statuses/264336110342246401","http://twitter.com/MorrisLongo/statuses/264374260770934784","","","","","","2012-11-02T14:31:50.000Z",2,14,31,50,"11-02 14:31","","ClimateChange2012,Sandy","J_Dunkle,algore","post"
"112332",85,147,"en","http://www.twitter.com/Brians_Paradox","Brians_Paradox","1661","Hurricane sandy's not a natural storm. H.A.A.R.P. Caused it but whateverr","Twitter for Android","40.7596997","-73.8784495","42","","http://twitter.com/Brians_Paradox/statuses/263132966207766529","","","","","","2012-10-30T04:19:22.000Z",30,4,19,22,"10-30 04:19","","","","post"
"127871",21,69,"en","http://www.twitter.com/nascar99","nascar99","2033","This sucks..thanks # sandy 4 making havoc all around I CAN't even watch tv . Missing.my morning.shows&amp; possiablely my soaps 2 # dam u sandy","Twitter for Android","41.3545621","-75.2370761","35","","http://twitter.com/nascar99/statuses/263294402728951808","","","","","","2012-10-30T15:00:52.000Z",30,15,0,52,"10-30 15:00","","","","post"
"62364",20,34,"tr","http://www.twitter.com/cerenterziolu","cerenterziolu","35","@BarackObama  yaa sandy huricane ya allah olee yapiverir insani iste mubarek gunlerde yinede allah yardmcnz olsun bzden de var aranizda","Twitter for Android","39.760101","39.4772097","17","http://twitter.com/BarackObama/statuses/262959563249172481","http://twitter.com/cerenterziolu/statuses/262967178150699008","","","","","","2012-10-29T17:20:35.000Z",29,17,20,35,"10-29 17:20","","","BarackObama","post"
"11566",1824,1107,"en","http://www.twitter.com/OMGfoodie","OMGfoodie","1879","Enjoying lunch before prepping for Hurricane Sandy's wrath #omgfoodie  @ Roxanne's http://t.co/lwgKatEo","Instagram","41.09738584","-74.14655685","58","","http://twitter.com/OMGfoodie/statuses/262271786941558784","","","","","","2012-10-27T19:17:21.000Z",27,19,17,21,"10-27 19:17","0","omgfoodie","","post"
"119293",321,229,"en","http://www.twitter.com/D4LELEW","D4LELEW","2262","These Americans don't half come up with some shit names for the storms they have....'sandy'... Keith is a good name.","Twitter for iPhone","53.40966768","-2.99658433","41","","http://twitter.com/D4LELEW/statuses/263221704699035649","","","","","","2012-10-30T10:11:59.000Z",30,10,11,59,"10-30 10:11","","","","post"
"137115",228,197,"en","http://www.twitter.com/Miguelelucho","Miguelelucho","8533","?@Nelchacin: Solo fue Sandy y destruy? todo, imag?nate si hubiese pasado con papo! @Miguelelucho?.....................NO VALE. Te fuiste.","Twitter for iPhone","39.12846453","-76.63793538","44","","http://twitter.com/Miguelelucho/statuses/263365851573518337","","","","","","2012-10-30T19:44:46.000Z",30,19,44,46,"10-30 19:44","0","","Nelchacin","post"
